"pmid","title","language","decision","layer","reason","citation_chase","language_exclude"
"23506992","Metabolite profiling of polyphenols in a Terminalia chebula Retzius ayurvedic  decoction and evaluation of its chemopreventive activity.","eng","exclude","none","plant polyphenol Ames mutagenicity; not typhoid","no","no"
"23509434","Development of a novel rapid immunodiagnostic kit based on flagellar 40 kDa  antigen epitope for the detection of typhoid fever in Indian patients.","eng","exclude","none","Flagellar antigen immunodiagnostic kit development; panel-based; qualitative","no","no"
"23510245","Pathogen-specific risk of chronic gastrointestinal disorders following bacterial  causes of foodborne illness.","eng","exclude","none","non-typhoid Salmonella chronic GI sequelae","no","no"
"23516651","Antimicrobial resistance in invasive non-typhoid Salmonella from the Democratic  Republic of the Congo: emergence of decreased fluoroquinolone susceptibility and extended-spectrum beta lactamases.","eng","exclude","none","non-typhoidal Salmonella AMR; not S. typhi","no","no"
"23516653","Spatiotemporal transmission and determinants of typhoid and paratyphoid fever in  Hongta District, Yunnan Province, China.","eng","exclude","none","spatiotemporal transmission determinants; no positivity","no","no"
"23520266","Migrant health and infectious diseases in the UK: findings from the last 10 years  of surveillance.","eng","exclude","none","migrant enteric fever surveillance; special population","no","no"
"23535116","Profiling the gastrointestinal microbiota in response to Salmonella: low versus  high Salmonella shedding in the natural porcine host.","eng","exclude","none","Pig gut microbiota Salmonella shedding; animal","no","no"
"2353685","Hepatic granuloma in Saudi Arabia: a clinicopathological study of 59 cases.","eng","exclude","none","hepatic granuloma series typhoid incidental","no","no"
"23563513","Vaccination for typhoid fever in sub-Saharan Africa.","eng","exclude","none","narrative review; vaccination strategy not accuracy","no","no"
"23569884","Production of chitosan from endolichenic fungi isolated from mangrove environment  and its antagonistic activity.","eng","exclude","none","Chitosan antifungal production; unrelated to typhoid diagnosis","no","no"
"23569940","Abdominal lymphadenopathy: an atypical presentation of enteric fever.","eng","exclude","none","single case report atypical presentation","no","no"
"235827","Natural antibodies in healthy adults.","eng","exclude","none","natural antibody titres in adults; serology","no","no"
"23583812","Evaluation of vaccine-induced antibody responses: impact of new technologies.","eng","exclude","none","vaccine antibody assay methodology; no positivity","no","no"
"23585003","[Distribution of Salmonella paratyphi A pagC gene and immunoprotective effect of  its recombinant expressed products].","chi","exclude","none","gene distribution; vaccine antigen; not diagnostic accuracy","no","no"
"23591641","Prospects for prevention of Salmonella infection in children through vaccination.","eng","exclude","none","vaccine review; no positivity data","no","no"
"23592259","Identification of salmonella pathogenicity island-2 type III secretion system  effectors involved in intramacrophage replication of S. enterica serovar typhimurium: implications for rational vaccine design.","eng","exclude","none","Salmonella SPI-2 effectors vaccine design mouse","no","no"
"23593253","Head-to-head comparison of humoral immune responses to Vi capsular polysaccharide  and Salmonella Typhi Ty21a typhoid vaccines--a randomized trial.","eng","exclude","none","vaccine immunogenicity comparison only; no diagnostic content","no","no"
"23594418","Prognostic value of endotoxemia in patients with Gram-negative bacteremia is  bacterial species dependent.","eng","exclude","none","endotoxemia mortality prognosis; not culture or case definition","no","no"
"23597024","Lassa fever presenting as acute abdomen: a case series.","eng","exclude","none","Lassa fever acute abdomen case series","no","no"
"23609512","Decreased ciprofloxacin susceptibility in Salmonella Typhi and Paratyphi  infections in ill-returned travellers: the impact on clinical outcome and future treatment options.","eng","exclude","none","returned travellers AMR treatment; special population","no","no"
"23615945","Diversity of Salmonella enterica serovar Typhi strains collected from india using  variable number tandem repeat (VNTR)-PCR analysis.","eng","exclude","none","VNTR-PCR strain diversity; molecular epidemiology only","no","no"
"23620850","Antioxidant, antibacterial and cytotoxic effects of the phytochemicals of whole  Leucas aspera extract.","eng","exclude","none","in vitro plant antibacterial activity","no","no"
"23624347","Loop region-specific oligonucleotide probes for loop-mediated isothermal  amplification-enzyme-linked immunosorbent assay truly minimize the instrument needed for detection process.","eng","exclude","none","LAMP-ELISA molecular assay spiked samples not clinical accuracy","no","no"
"2363299","Specific immune response in humans following rectal delivery of live typhoid  vaccine.","eng","exclude","none","vaccine immunogenicity only; no diagnostic content","no","no"
"23634391","The baseline widal titre among the healthy individuals of the hilly areas in the  garhwal region of uttarakhand, India.","eng","exclude","none","Widal baseline titre; healthy volunteers no culture","no","no"
"23634415","A Splenic Abscess which was Caused by Salmonella Typhi in a Non Sickler Patient:  A Rare Case Finding.","eng","exclude","none","single case report splenic abscess","no","no"
"23634429","Increasing antimicrobial resistance and narrowing therapeutics in typhoidal  salmonellae.","eng","exclude","none","AMR therapeutics review; no diagnostic positivity content","no","no"
"23637626","Comprehensive assignment of roles for Salmonella typhimurium genes in intestinal  colonization of food-producing animals.","eng","exclude","none","Salmonella gene colonization animal study; molecular","no","no"
"23637957","Impact of oral typhoid vaccination on the human gut microbiota and correlations  with s. Typhi-specific immunological responses.","eng","exclude","none","Vaccine gut microbiota immunogenicity; no positivity data","no","no"
"23638062","Sex bias in infectious disease epidemiology: patterns and processes.","eng","exclude","none","infectious disease sex-bias epidemiology; typhoid incidental","no","no"
"23643894","Identification and characterization of OmpL as a potential vaccine candidate for  immune-protection against salmonellosis in mice.","eng","exclude","none","OmpL vaccine candidate mice","no","no"
"23645603","Low-pH rescue of acid-sensitive Salmonella enterica Serovar Typhi Strains by a  Rhamnose-regulated arginine decarboxylase system.","eng","exclude","none","Vaccine strain acid-resistance engineering; molecular","no","no"
"23647814","Oral immunization with an attenuated Salmonella Gallinarum mutant as a fowl  typhoid vaccine with a live adjuvant strain secreting the B subunit of Escherichia coli heat-labile enterotoxin.","eng","exclude","none","fowl typhoid poultry vaccine not human","no","no"
"23664993","Desirability for a typhoid fever vaccine among rural residents, Pemba Island,  Tanzania.","eng","exclude","none","vaccine acceptability survey; not diagnostic","no","no"
"23676781","Eye banking and corneal transplantation communicable adverse incidents: current  status and project NOTIFY.","eng","exclude","none","eye banking corneal transplant not typhoid diagnosis","no","no"
"23686781","The use of factorial design, image analysis, and an efficiency calculation for  multiplex PCR optimization.","eng","exclude","none","multiplex PCR optimization for Typhimurium; lab method","no","no"
"23687374","Preferential invasion of mitotic cells by Salmonella reveals that cell surface  cholesterol is maximal during metaphase.","eng","exclude","none","Salmonella cell-invasion cell biology; no diagnostics","no","no"
"23698275","Highly specific and cost-efficient detection of Salmonella Paratyphi A combining  aptamers with single-walled carbon nanotubes.","eng","exclude","none","aptamer detection method development","no","no"
"23703350","Antimicrobial susceptibility of Salmonella enterica serovars in a tertiary care  hospital in southern India.","eng","exclude","none","antimicrobial susceptibility study of isolates","no","no"
"23716878","Antibacterial activity of mother tinctures of cholistan desert plants in  pakistan.","eng","exclude","none","desert plant tinctures antibacterial; botany","no","no"
"23721095","Tumor suppressor gene RBM5 delivered by attenuated Salmonella inhibits lung  adenocarcinoma through diverse apoptotic signaling pathways.","eng","exclude","none","Mouse tumor model using Salmonella vector","no","no"
"23730630","A study on the serum adenosine deaminase activity in patients with typhoid Fever  and other febrile illnesses.","eng","exclude","none","serum adenosine deaminase biomarker","no","no"
"23733290","Spatial analyses of typhoid fever in Jiangsu province, People's Republic of  China.","eng","exclude","none","spatial typhoid incidence analysis; no positivity","no","no"
"23735462","Polycyclic aromatic hydrocarbons and their quinones modulate the metabolic  profile and induce DNA damage in human alveolar and bronchiolar cells.","eng","exclude","none","Human lung cells; unrelated PAH toxicology","no","no"
"237378","[Comparative study of the Vi-typhin test passive hemagglutination reaction for  detection of Vi-antibodies in the blood serum and its practical significance].","rus","exclude","none","non-English/French/Spanish/Chinese language","no","yes"
"23750221","Oxidoreductases that act as conditional virulence suppressors in Salmonella  enterica serovar Typhimurium.","eng","exclude","none","oxidoreductase virulence; molecular pathogenesis","no","no"
"23763775","Travel-associated illness trends and clusters, 2000-2010.","eng","exclude","none","GeoSentinel travel illness enteric fever proportionate morbidity only","no","no"
"23776811","Antimicrobial potential of Dialium guineense (Wild.) stem bark on some clinical  isolates in Nigeria.","eng","exclude","none","Dialium plant antimicrobial extract","no","no"
"23790417","Cloning, expression, and purification of the hemolysin/cytolysin (HlyE antigen)  from Salmonella enterica serovar Typhi: potential application for immunoassay development.","eng","exclude","none","HlyE antigen cloning immunoassay; molecular","no","no"
"23790418","Study on Salmonella Typhi occurrence in gallbladder of patients suffering from  chronic cholelithiasis-a predisposing factor for carcinoma of gallbladder.","eng","exclude","none","chronic gallbladder carriage special population","no","no"
"23796754","Immune response variations to Salmonella enterica serovar Typhi recombinant porin  proteins in mice.","eng","exclude","none","Mouse porin vaccine immunogenicity study; not diagnostic","no","no"
"2380034","Enteric fever among Israeli travelers in Nepal: the need for typhoid vaccination.","eng","exclude","none","travellers special population; vaccination rationale not diagnostic","no","no"
"238046","A comparative evaluation of the treatment of typhoid fevers with co-trimoxazole  and chloramphenicol in Egypt.","eng","exclude","none","treatment trial co-trimoxazole chloramphenicol; confirmed","no","no"
"23805675","[Induction and protective properties of antibodies against muramyl peptides of  gram-negative bacteria].","rus","exclude","none","non-allowed language russian","no","yes"
"23809889","The activation of vivax malaria hypnozoites by infectious diseases.","eng","exclude","none","malaria relapse review; typhoid as trigger","no","no"
"23811447","Antibacterial effect of mango (Mangifera indica Linn.) leaf extract against  antibiotic sensitive and multi-drug resistant Salmonella typhi.","eng","exclude","none","mango leaf extract antibacterial; in vitro","no","no"
"23812827","Pathogen-specific risk of celiac disease following bacterial causes of foodborne  illness: a retrospective cohort study.","eng","exclude","none","foodborne illness celiac-risk cohort; non-typhoid","no","no"
"23814211","Catatonia and parkinsonism as a sequelae of typhoid fever: a rare experience.","eng","exclude","none","typhoid catatonia sequelae case report","no","no"
"23815879","Antimicrobial activity and rutin identification of honey produced by the  stingless bee Melipona compressipes manaosensis and commercial honey.","eng","exclude","none","in-vitro honey antibacterial assay","no","no"
"23821828","Microalgae mediated synthesis of silver nanoparticles and their antibacterial  activity against pathogenic bacteria.","eng","exclude","none","silver nanoparticles antibacterial test organism","no","no"
"23824765","Identification of Salmonella enterica serovar Typhi genotypes by use of rapid  multiplex ligation-dependent probe amplification.","eng","exclude","none","molecular genotyping method comparison; not clinical diagnosis","no","no"
"23831136","Improving the antibacterial activity and selectivity of an ultra short peptide by  hydrophobic and hydrophilic amino acid stretches.","eng","exclude","none","In vitro antibacterial peptide MIC testing","no","no"
"23842500","Structure and function of the Salmonella Typhi chimaeric A(2)B(5) typhoid toxin.","eng","exclude","none","typhoid toxin structure pathogenesis","no","no"
"23857386","Targeting of putative fimbrial gene for detection of S. Typhi in typhoid fever  and chronic typhoid carriers by nested PCR.","eng","exclude","none","PCR primer development; analytical not clinical accuracy","no","no"
"2385993","[The effect of immunostimulants on the resistance of white mice to the causative  agent of typhoid fever].","rus","exclude","none","non-eligible language","no","yes"
"2385994","[The relationship of antibody formation in immunization against typhoid fever to  the acetylation phenotype].","rus","exclude","none","non-eligible language (russian)","no","yes"
"23860057","Acute cholecystitis from typhic origin in children.","eng","exclude","none","typhoid cholecystitis case series; six children","no","no"
"23865073","A simple assay to screen antimicrobial compounds potentiating the activity of  current antibiotics.","eng","exclude","none","Antimicrobial synergy assay; unrelated to diagnosis","no","no"
"23876365","The new global health.","eng","exclude","none","global health commentary","no","no"
"23876937","An HPLC-tandem mass spectrometry method for simultaneous detection of alkylated  base excision repair products.","eng","exclude","none","DNA-repair mass-spectrometry method; unrelated to typhoid","no","no"
"23883849","Antimicrobial resistance of human Salmonella enterica serovar Typhimurium U302  strains: prevalence of R-type ASSuT in Slovakia, 2006-2011.","eng","exclude","none","non-typhoid Salmonella Typhimurium AMR surveillance","no","no"
"23885029","Rapid, sensitive recovery of recombinant attenuated Salmonella enterica serovar  Typhi vaccine strains from human blood.","eng","exclude","none","blood culture recovery vaccine strains; lab validation","no","no"
"23891671","Genotoxicity of pyrroloquinoline quinone (PQQ) disodium salt (BioPQQ™).","eng","exclude","none","Not typhoid; genotoxicity Ames test study","no","no"
"23898212","Multiple antigen-presenting system (MAPS) to induce comprehensive B- and T-cell  immunity.","eng","exclude","none","Vaccine platform immunogenicity; no positivity or case-definition data","no","no"
"23905456","Mixed Salmonella infection: a report of two cases from the Aga Khan University  Hospital, Karachi.","eng","exclude","none","case report; two cases; no denominator","no","no"
"23916987","A Phase I, dose-escalation trial in adults of three recombinant attenuated  Salmonella Typhi vaccine vectors producing Streptococcus pneumoniae surface protein antigen PspA.","eng","exclude","none","Typhi vaccine vector pneumococcal antigen trial; immunogenicity","no","no"
"23922794","15-Deoxy-Δ12,14-prostaglandin J2 inhibits macrophage colonization by Salmonella  enterica serovar Typhimurium.","eng","exclude","none","prostaglandin macrophage Typhimurium molecular","no","no"
"23928638","[Analysis of reported infectious diarrhea (other than cholera, dysentery, typhoid  and paratyphoid) in China in 2011].","chi","exclude","none","diarrhea surveillance explicitly excluding typhoid","no","no"
"23936575","Identification of immunogenic Salmonella enterica serotype Typhi antigens  expressed in chronic biliary carriers of S. Typhi in Kathmandu, Nepal.","eng","exclude","none","antigen discovery; chronic carriers; biomarker","no","no"
"23940495","Baseline antibody titres against Salmonella typhi in apparently asymptomatic HIV  positive individuals in a tertiary care hospital.","eng","exclude","none","special population HIV; titre baseline only","no","no"
"239506","[Development of new types of chemical vaccine for prevention of intestinal  infections and problems of their qualitative evaluation. III. Comparative study of immunologic characteristics of experimental antigenic preparations].","rus","exclude","none","non-English/French/Spanish/Chinese language","no","yes"
"23950998","Diverse secreted effectors are required for Salmonella persistence in a mouse  infection model.","eng","exclude","none","Salmonella effectors persistence mouse molecular","no","no"
"23961059","Antimicrobial activity and phytochemical analyses of Polygonum aviculare L.  (Polygonaceae), naturally growing in Egypt.","eng","exclude","none","in vitro plant antimicrobial activity","no","no"
"23961238","Antioxidative, antimicrobial and cytotoxic effects of the phenolics of Leea  indica leaf extract.","eng","exclude","none","Leea indica extract antimicrobial","no","no"
"2396471","Antibody-secreting cells in the evaluation of the immunogenicity of an oral  vaccine.","eng","exclude","none","Oral vaccine immunogenicity trial; no positivity","no","no"
"23972616","Serological follow-up after non-typhoid salmonella infection in humans using a  mixed lipopolysaccharide ELISA.","eng","exclude","none","non-typhoid salmonella gastroenteritis serology; not enteric fever","no","no"
"23975545","Epidemic increase in Salmonella bloodstream infection in children, Bwamanda, the  Democratic Republic of Congo.","eng","exclude","none","NTS-dominant bloodstream epidemic; molecular typing; minor Typhi","no","no"
"23991240","Differential epidemiology of Salmonella Typhi and Paratyphi A in Kathmandu,  Nepal: a matched case control investigation in a highly endemic enteric fever setting.","eng","exclude","none","Kathmandu risk-factor case-control; hygiene water; not diagnostic","no","no"
"23994374","A novel method for purification of Vi capsular polysaccharide produced by  Salmonella enterica subspecies enterica serovar Typhi.","eng","exclude","none","Vi polysaccharide purification; vaccine production","no","no"
"24003018","Synthesis and characterization of novel organocobaloximes as potential  catecholase and antimicrobial activity agents.","eng","exclude","none","chemical synthesis antimicrobial; test organism","no","no"
"24013603","Neurologic complications and sequellae of infectious diseases in Uganda and  Kenya: Analysis of 288 cases from two rural hospitals.","eng","exclude","none","neurologic complications analysis; no case-definition evaluation","no","no"
"24019994","The Genomic Blueprint of Salmonella enterica subspecies enterica serovar Typhi  P-stx-12.","eng","exclude","none","Typhi genome sequence; no diagnostic content","no","no"
"24040177","Stochastic simulation of endemic Salmonella enterica serovar Typhi: the  importance of long lasting immunity and the carrier state.","eng","exclude","none","Stochastic simulation model; no empirical diagnostics","no","no"
"24041196","The plague of Athens: an ancient act of bioterrorism?","eng","exclude","none","plague of Athens historical commentary; no diagnostics","no","no"
"24043999","Trends in the antibiotic resistance patterns of enteric Fever isolates - a three  year report from a tertiary care centre.","eng","exclude","none","AMR trends; Salmonella isolation from all blood cultures","no","no"
"24052682","Self-reported illness and household strategies for coping with health-care  payments in Bangladesh.","eng","exclude","none","health-payment coping survey; typhoid self-report","no","no"
"24064645","Study of the role of efflux pump in ciprofloxacin resistance in Salmonella  enterica serotype Typhi.","eng","exclude","none","efflux pump ciprofloxacin resistance; AMR mechanism","no","no"
"24082267","Bacteriology of a most popular street food (Panipuri) and inhibitory effect of  essential oils on bacterial growth.","eng","exclude","none","street food bacteriology; not human typhoid","no","no"
"24098576","A novel M2e based flu vaccine formulation for dogs.","eng","exclude","none","canine flu vaccine; Typhi OmpC adjuvant","no","no"
"24116321","Effects of potassium iodide on low avid immunological reactions: probable  mechanism of action on selective fungal infections.","eng","exclude","none","potassium iodide immunology complement lysis","no","no"
"24118020","Antibacterial and antiviral evaluation of sulfonoquinovosyldiacylglyceride: a  glycolipid isolated from Azadirachta indica leaves.","eng","exclude","none","neem glycolipid antibacterial antiviral; in-vitro","no","no"
"24119299","Antimicrobial resistance in human and animal pathogens in Zambia, Democratic  Republic of Congo, Mozambique and Tanzania: an urgent need of a sustainable surveillance system.","eng","exclude","none","AMR surveillance review; no diagnostic content","no","no"
"24119438","Antimicrobial activity of the bioactive components of essential oils from  Pakistani spices against Salmonella and other multi-drug resistant bacteria.","eng","exclude","none","spice essential oils antimicrobial","no","no"
"24119827","The challenge of enteric fever.","eng","exclude","none","narrative review enteric fever; not accuracy","no","no"
"2412272","Selective primary health care: strategies for control of disease in the  developing world. XX. Typhoid fever.","eng","exclude","none","narrative review; control strategies","no","no"
"2412390","Immunological study of Pseudomonas aeruginosa extracellular slime.","eng","exclude","none","Pseudomonas slime immunology not typhoid","no","no"
"24136382","Isolation of Salmonella Virchow from a fruit bat (Pteropus giganteus).","eng","exclude","none","bat Salmonella survey; not human typhoid","no","no"
"24151318","Overcoming current limitations in humanized mouse research.","eng","exclude","none","Humanized mouse model review; unrelated to diagnostics","no","no"
"24163408","Nod1 and Nod2 enhance TLR-mediated invariant NKT cell activation during bacterial  infection.","eng","exclude","none","Nod1 Nod2 NKT cell activation; immunology","no","no"
"24169398","Salmonella cholecystitis: atypical presentation of a typical condition.","eng","exclude","none","case report Salmonella cholecystitis; no denominator","no","no"
"24179905","Mortality in typhoid intestinal perforation-a declining trend.","eng","exclude","none","typhoid perforation surgical outcomes; coli cultured","no","no"
"24198224","A large outbreak of Salmonella Paratyphi A infection among israeli travelers to  Nepal.","eng","exclude","none","travellers-only paratyphoid outbreak; therapy focus; special population","no","no"
"24201038","Ηepatitis A and enteric fever in Greece, 2004-2011: a cross-sectional analysis.","eng","exclude","none","Greece hepatitis enteric fever travel surveillance counts","no","no"
"24215700","Customizable PCR-microplate array for differential identification of multiple  pathogens.","eng","exclude","none","PCR array pathogen identification; molecular method development","no","no"
"24237035","Adjuvant potential of low dose all-trans retinoic acid during oral typhoid  vaccination in Zambian men.","eng","exclude","none","typhoid vaccine adjuvant immunology","no","no"
"24240035","Antimicrobial resistance among blood culture isolates of Salmonella enterica in  New Delhi.","eng","exclude","none","AMR of blood culture isolates; no denominator","no","no"
"24289297","Phytochemical, toxicological and antimicrobial evaluation of Lawsonia inermis  extracts against clinical isolates of pathogenic bacteria.","eng","exclude","none","Lawsonia extract antimicrobial; in-vitro","no","no"
"24291468","Proteomics-based identification of plasma proteins and their association with the  host-pathogen interaction in chronic typhoid carriers.","eng","exclude","none","proteomics of chronic typhoid carriers; no diagnostic counts","no","no"
"24291643","Pathogen detection by core-shell type aptamer-magnetic preconcentration coupled  to real-time PCR.","eng","exclude","none","Aptamer-PCR food detection method; not clinical diagnosis","no","no"
"24295327","Targeting the type III secretion system to treat bacterial infections.","eng","exclude","none","type III secretion therapeutics review","no","no"
"2429714","[Macrophage participation in the polyclonal and specific response to  T-independent antigen in vitro].","rus","exclude","none","Russian language; mouse macrophage antibody response study","no","yes"
"24298495","Co-Infection: Weil's Syndrome with Hepatitis B Infection- A Diagnostic and  Therapeutic Hitch.","eng","exclude","none","co-infection case report; no denominator","no","no"
"24302834","Antibacterial activity of resin rich plant extracts.","eng","exclude","none","plant extract antibacterial assay; test organism only","no","no"
"24304980","Typhoid epidemiology, diagnostics and the human challenge model.","eng","exclude","none","narrative review of typhoid epidemiology and diagnostics","no","no"
"2430992","In vivo immunoreactive adrenocorticotropin (ACTH) production by human mononuclear  leukocytes from normal and ACTH-deficient individuals.","eng","exclude","none","ACTH leukocyte production; typhoid vaccine inducer","no","no"
"24311628","Phytochemical analysis, antibacterial, and antifungal assessment of aerial parts  of Polygonatum verticillatum.","eng","exclude","none","plant extract antibacterial antifungal screening study","no","no"
"24318418","Combined reduced-antigen content tetanus, diphtheria, and acellular pertussis  (tdap) vaccine-related erythema nodosum: case report and review of vaccine-associated erythema nodosum.","eng","exclude","none","vaccine adverse event case report","no","no"
"24321888","A novel anti-microbial function for a familiar Rab GTPase.","eng","exclude","none","Rab GTPase mechanism study; molecular pathogenesis only","no","no"
"24327559","Fitness benefits in fluoroquinolone-resistant Salmonella Typhi in the absence of  antimicrobial pressure.","eng","exclude","none","fitness cost FQ resistance; in vitro microbiology","no","no"
"24331213","Typhoid Fever in nineteenth-century Colombia: between medical geography and  bacteriology.","eng","exclude","none","historical medical history typhoid","no","no"
"24334939","Molecular evaluation of drug resistance in clinical isolates of Salmonella  enterica serovar Typhi from Pakistan.","eng","exclude","none","drug resistance of clinical isolates; no positivity","no","no"
"24340898","[Pharmacologists in the camps In the Third Reich--part one].","pol","exclude","none","non-eligible language","no","yes"
"24358109","A systematic review and meta-analysis of the performance of two point of care  typhoid fever tests, Tubex TF and Typhidot, in endemic countries.","eng","exclude","L2","Systematic review meta-analysis of POC test performance","yes","no"
"24362635","Post-fever retinitis: a single center experience from south India.","eng","exclude","none","post-fever retinitis case series","no","no"
"24364573","Fever in returning travelers: a case-based approach.","eng","exclude","none","clinical review travelers not systematic accuracy data","no","no"
"24371257","Immunoproteomic analysis of antibody in lymphocyte supernatant in patients with  typhoid fever in Bangladesh.","eng","exclude","none","ALS immunoproteomic biomarker discovery; small; not positivity","no","no"
"2437220","Prevention of shigellosis by a Salmonella typhi-Shigella sonnei bivalent vaccine.","eng","exclude","none","vaccine efficacy against shigellosis; not typhoid diagnosis","no","no"
"24374441","In Vitro antimicrobial activity of Allium cepa (dry bulbs) against Gram positive  and Gram negative bacteria and fungi.","eng","exclude","none","in-vitro onion antimicrobial assay; test organism only","no","no"
"24385413","Vaccines for preventing typhoid fever.","eng","exclude","none","systematic review meta-analysis typhoid vaccine efficacy","yes","no"
"24386229","Bacteremia as a cause of fever in ambulatory, HIV-infected Mozambican adults:  results and policy implications from a prospective observational study.","eng","exclude","none","HIV-only febrile bacteremia; predominant non-typhoid Salmonella","no","no"
"24386394","Characterization of the yehUT two-component regulatory system of Salmonella  enterica Serovar Typhi and Typhimurium.","eng","exclude","none","yehUT two-component system Salmonella; molecular","no","no"
"2438866","[Changes in the sorption of the antigens of the causative agent of typhoid on  erythrocytes in the dynamic immune response].","rus","exclude","none","Mouse immunology antigen sorption; non-English language","no","yes"
"24390840","Proteomic comparison between Salmonella Typhimurium and Salmonella Typhi.","eng","exclude","none","proteomic comparison serovars; molecular","no","no"
"24390947","Bile bacteria of patients with cholelithiasis and theirs antibiogram.","eng","exclude","none","bile flora in cholelithiasis; not typhoid diagnosis","no","no"
"24393646","Salmonella antigen induces differential bone marrow cytokine secretion in control  and malnourished rats.","eng","exclude","none","rat bone marrow cytokine animal model study","no","no"
"2439536","Systemic and intestinal immunities after natural typhoid infection.","eng","exclude","none","immune response after natural typhoid; immunology","no","no"
"24399343","[Immunization practices for workers. Update recommendations].","spa","exclude","none","review worker immunization recommendations","no","no"
"24399384","Plasmid-mediated quinolone resistance in typhoidal Salmonellae: a preliminary  report from South India.","eng","exclude","none","plasmid quinolone resistance mechanism; no diagnostic positivity","no","no"
"24406393","Generation of a safety enhanced Salmonella Gallinarum ghost using antibiotic  resistance free plasmid and its potential as an effective inactivated vaccine candidate against fowl typhoid.","eng","exclude","none","fowl typhoid Gallinarum vaccine chickens not human","no","no"
"2441039","Detection of Salmonella typhi 'O' antigen by counter-immuno-electrophoresis.","eng","exclude","none","antigen detection technique; not culture-based","no","no"
"24413503","Indian Academy of Pediatrics (IAP) recommended immunization schedule for children  aged 0 through 18 years, India, 2013 and updates on immunization.","eng","exclude","none","IAP immunization schedule India guideline","no","no"
"24416466","Predicting the impact of vaccination on the transmission dynamics of typhoid in  South Asia: a mathematical modeling study.","eng","exclude","none","vaccination transmission dynamics modeling study","no","no"
"24420792","An immunoproteomic approach for characterization of the outer membrane proteins  of Salmonella Gallinarum.","eng","exclude","none","fowl typhoid Salmonella Gallinarum; not human","no","no"
"24421037","Neutrophils are a source of gamma interferon during acute Salmonella enterica  serovar Typhimurium colitis.","eng","exclude","none","mouse colitis neutrophil immunology; non-typhoidal","no","no"
"24421039","Distinct roles of the Salmonella enterica serovar Typhimurium CyaY and YggX  proteins in the biosynthesis and repair of iron-sulfur clusters.","eng","exclude","none","iron-sulfur cluster proteins in Salmonella; molecular","no","no"
"24423767","[Current situation on the China infectious disease automated-alert and response  system in Guangdong Province, China].","chi","exclude","none","automated surveillance alert-system evaluation; typhoid incidental","no","no"
"24424404","A new and efficient method for the synthesis of novel 3-acetyl coumarins  oxadiazoles derivatives with expected biological activity.","eng","exclude","none","coumarin oxadiazole synthesis antibacterial; chemistry","no","no"
"24426086","Association of Three Plasmid-Encoded spv Genes Among Different Salmonella  Serotypes Isolated from Different Origins.","eng","exclude","none","spv virulence genes; molecular; no diagnostic content","no","no"
"24426144","Comparative Virulotyping of Salmonella typhi and Salmonella enteritidis.","eng","exclude","none","Salmonella virulence gene typing; molecular","no","no"
"24429069","Live oral Salmonella enterica serovar Typhi vaccines Ty21a and CVD 909 induce  opsonophagocytic functional antibodies in humans that cross-react with S. Paratyphi A and S. Paratyphi B.","eng","exclude","none","vaccine immunogenicity study; no positivity data","no","no"
"2443287","A sulfhydryl-rich IgM protein with multiple serological specificities.","eng","exclude","none","monoclonal IgM protein specificity; not diagnostic","no","no"
"24440210","Evaluation of immune responses to an oral typhoid vaccine, Ty21a, in children  from 2 to 5 years of age in Bangladesh.","eng","exclude","none","vaccine immunogenicity children","no","no"
"24440968","Salmonella vaccines: lessons from the mouse model or bad teaching?","eng","exclude","none","Vaccine immunology mouse-model review; not diagnostic accuracy","no","no"
"24441441","Gallbladder perforation: A rare complication of enteric fever.","eng","exclude","none","gallbladder perforation case report","no","no"
"24448337","Typhoid fever as a triggering factor in acute and intractable bronchial asthma  attack.","eng","exclude","none","narrative review; asthma trigger","no","no"
"24455483","Evaluating the antimicrobial activity of methonolic extract of rhus succedanea  leaf gall.","eng","exclude","none","leaf gall extract antibacterial; test strain","no","no"
"2445565","Repression of alpha 2-macroglobulin and stimulation of alpha 1-proteinase  inhibitor synthesis in human mononuclear phagocytes by endotoxin.","eng","exclude","none","Endotoxin biochemistry reagent study; off-topic","no","no"
"2446446","[Solid-phase method of immunoradiometric determination of the O antigen of  Salmonella typhi].","rus","exclude","none","Russian language; antigen detection lab method","no","yes"
"2446454","[Isolation and study of active peptides in Salmonella H antigens].","rus","exclude","none","non-English/French/Spanish/Chinese language","no","yes"
"2447120","Murine monoclonal antibody specific for lipopolysaccharide of Salmonella  serogroup A.","eng","exclude","none","monoclonal antibody serotyping reagent; not clinical accuracy","no","no"
"24475552","Study of adverse events following immunisation with universal and newer vaccines  in the Serampore IMA Child Clinic over a period of 7 years.","eng","exclude","none","adverse events following immunisation no diagnostics","no","no"
"24479019","Study of clinical profile and antibiotic sensitivity in paratyphoid Fever cases  admitted at teaching hospital in South India.","eng","exclude","none","Culture-proven paratyphoid clinical profile and antibiotic sensitivity only","no","no"
"24479030","Salmonella hepatitis: an uncommon complication of a common disease.","eng","exclude","none","case report typhoid hepatitis; no diagnostic data","no","no"
"24489912","A low gastric pH mouse model to evaluate live attenuated bacterial vaccines.","eng","exclude","none","Low gastric pH mouse vaccine model; animal","no","no"
"24490916","Counts, serovars, and antimicrobial resistance phenotypes of Salmonella on raw  chicken meat at retail in Colombia.","eng","exclude","none","Salmonella on retail chicken meat","no","no"
