"covidence_id","source_title","authors","publication_year","doi","zotero_pdf","pdf_pages","searchable_characters","record_type","prior_audit_source","summary_row_id","study","location","outbreak_year","summary_suspected","summary_blood_tested","summary_blood_positive","summary_positivity","attack_rate_pct","legacy_attack_rate_pass","current_stage1","audited_suspected_testing_frame","audited_blood_tested","audited_blood_positive","audited_positivity","tested_fraction","denominator_unit","specimen_scope","case_definition_summary","testing_selection_mechanism","temporal_alignment","denominator_compatibility","verification_bias_risk","source_status","simple_model_status","verification_model_status","recommended_use","independence_group","audit_notes"
"#574","Investigation of concurrent outbreaks of gastroenteritis and typhoid fever following a party on a floating restaurant, France, March 1998","Valenciano, M.; Baron, S.; Fisch, A.; Grimont, F.; Desenclos, J. C.",2000,"10.1093/aje/152.10.934","C:/Users/jonghoon.kim/Zotero/storage/ED36QT97/Valenciano et al. - 2000 - Investigation of concurrent outbreaks of gastroenteritis and typhoid fever following a party on a fl.pdf",6,35332,"outbreak investigation","covidence_no_timeseries_ppv_audit.csv","#574","Valenciano 2000","Floating restaurant, Paris, France","1998","27",,"14",,"18.4","FALSE","FALSE","27 guests meeting the typhoid syndromic definition, out of a 147-guest retrospective cohort",,"14",,,"patients","blood AND stool, and SEPARABLE: 14 blood-positive, 6 stool-positive, 5 both (union = the 15 'confirmed')","Probable: fever >=38 C for >2 days, no other cause checked by the practitioner, onset >10 days after the supper, AND either a negative stool/blood culture OR no specimen tested. Confirmed: the same fever plus a stool or blood specimen positive for S. typhi","Not reported, and the definition itself concedes incomplete testing: probables include those who 'did not have a specimen tested'. Case-finding was via press release plus telephone interview advising specimen submission - i.e. self-selection. 21 of 27 were hospitalised","Epidemic curve DOES exist (Fig 2, typhoid by 3-day interval, probable vs confirmed; Fig 1, gastroenteritis daily)","Blood numerator is clean (14) but there is NO blood-culture denominator: the count cultured among the 27 is never reported, and the probable definition explicitly includes untested patients","high","primary paper reviewed (Zotero ED36QT97, attached by JK 2026-07-16 and verified). Supersedes JEMF2WZ7 and AW7IPIVI, which BOTH still contain Borgdorff 2001 (M. tuberculosis) via an OUP volume 152/154 same-page collision","not eligible: no blood-culture denominator","not eligible","exclude (denominator absent, not specimen pooling)","Valenciano 2000","CORRECTS MY EARLIER READING: the 15 'confirmed by stool or blood culture' CAN be split - 'S. typhi was isolated in six stool cultures and in 14 blood cultures (five cases with both cultures positive)'; 14+6-5=15. So blood-positive = 14, not an unsplittable pooled 15. Ineligible anyway because the blood-tested count among the 27 is never given. Cohort: 199 identified, 157 (79%) interviewed, 147 (94%) analysed. Gastroenteritis 133 (90.5%); typhoid 27 (18.4%); ALL typhoid cases had preceding gastroenteritis. Strong age gradient: typhoid attack rate 42% (16-19y), 32% (20-29y), 9% (30-39y), 0% (>=40y) - the authors read this as lower population immunity in the young in a low-endemicity country. 21/27 hospitalised, 2 severe (ICU 23d and 38d). Single phage type DVS / ribotype TP7, fully antibiotic-sensitive. NOTE: Koh excluded this study as 'no time-series data available', yet Figs 1 and 2 ARE epidemic curves. A plausible explanation is that the reviewers downloaded the OUP link and received the Borgdorff TB paper, as both prior library copies did."
"#607","The emergence and outbreak of multidrug-resistant typhoid fever in China","Yan, M.; Li, X.; Liao, Q.; Li, F.; Zhang, J.; Kan, B.",2016,"10.1038/emi.2016.62","C:/Users/jonghoon.kim/Zotero/storage/GQ2VZCBZ/Yan et al. - 2016 - The emergence and outbreak of multidrug-resistant .pdf",7,45802,"molecular outbreak report","appiah2020_unique_outbreak_ppv_audit.csv","#607","Yan 2016","Shache county, Xinjiang, China","2010","253",,,,,"FALSE","FALSE","253 reported cases (55 laboratory-confirmed, 198 clinically diagnosed); culture frame not stated",,,,,"patients","blood OR stool, pooled and unseparable","Persistent fever >=38 C for >3 days with headache, hypoeosinophilia OR a positive Widal test, without other diagnosed cause","Effectively not reported: 'blood and stool samples were collected for the suspected cases' with no counts and no selection rule","No epidemic curve in this paper; narrative timing only","No tested denominator; 55 isolates are blood-or-stool with no breakdown","unassessable","primary paper reviewed (Zotero GQ2VZCBZ)","not eligible: no tested denominator and specimens pooled","not eligible","source reconstruction needed","Yan 2016","This is a MOLECULAR paper, not the primary outbreak report. Epi denominators and any epidemic curve are in the Chinese-language reference (Dang J et al., Occup and Health 2011;27:1288-1289), which would need retrieval and translation. The case definition itself admits Widal-positive patients as 'clinically diagnosed'. Vi vaccine was used as a control measure with no coverage reported."
"#609","An outbreak of typhoid fever, Xing-An County, People's Republic of China, 1999: estimation of the field effectiveness of Vi polysaccharide typhoid vaccine","Yang, H. H.; Kilgore, P. E.; Yang, L. H.; Park, J. K.; Pan, Y. F.; Kim, Y.; Lee, Y. J.; Xu, Z. Y.; Clemens, J. D.",2001,"10.1086/320729","C:/Users/jonghoon.kim/Zotero/storage/KX4KNIIV/Yang et al. - 2001 - An outbreak of typhoid fever, Xing-An County, Peop.pdf",6,50936,"outbreak vaccine-effectiveness study","appiah2020_unique_outbreak_ppv_audit.csv","#609","Yang 2001","Xing-An County Middle School, Guangxi, China","1999","24",,"2",,,"FALSE","FALSE","24 met a composite case definition; the number offered blood culture is never stated",,"2",,,"patients","BLOOD culture only (clean scope) plus Widal serology","S. Typhi by blood culture OR (temp >=38.5 C with fever >=24h) AND >=1 of fatigue/headache/malaise/anorexia/abdominal pain/constipation AND a positive Widal titre","Explicit capacity gate: 'patients routinely had blood specimens taken at the time of admission for diagnosis of typhoid fever by use of the Widal test, and BLOOD CULTURES WERE DONE WHENEVER POSSIBLE'. Widal was routine; culture was opportunistic","Weekly epidemic curve available (Fig 1, 8 weeks)","Blood-specific numerator (2) exists but has no denominator - the count offered culture is never given","high","primary paper reviewed (Zotero KX4KNIIV)","not eligible: no blood-culture denominator","not eligible","exclude","Yang 2001","One of Appiah's eight blood-culture-alone papers, but unusable: only 2/24 cases are culture-confirmed and 22/24 rest on Widal. 'Blood cultures were done whenever possible' is the second explicit statement that the culture gate is CAPACITY, not severity. School Vi campaign: 1701/2111 (81%) vaccinated; VE 71% (95% CI 34-87)."
"#617","An outbreak of domestically acquired typhoid fever in Queens, NY","Yoon, J.; Segal-Maurer, S.; Rahal, J. J.",2004,"10.1001/archinte.164.5.565","C:/Users/jonghoon.kim/Zotero/storage/KJWRVYP8/Yoon et al. - 2004 - An outbreak of domestically acquired typhoid fever.pdf",3,26732,"small outbreak case series","appiah2020_unique_outbreak_ppv_audit.csv","#617","Yoon 2004","Queens, New York, USA","2000","7",,,,,"FALSE","FALSE","Seven patients identified by positive blood cultures","7","7","1.000","1.000","patients","blood culture","Reported cases were diagnosed by positive blood culture","not assessed","not assessed","Confirmation-defined case series; no independent suspected-case denominator.","critical","primary Zotero full text screened (Yoon et al. - 2004 - An outbreak of domestically acquired typhoid fever.pdf)","exclude: n<20","exclude: n<20","exclude","Yoon 2004","Seven linked cases, all blood-culture positive by construction; 7/7 is not an estimable PPV observation."
"#729","XDR/MDR Salmonella: An experience from a Tertiary Care Hospital, Karachi, Pakistan","Fatima, G.; Kazmi, S.S.U.K.; Kainat, S.",2020,"10.1016/j.ijid.2020.09.131","C:/Users/jonghoon.kim/Zotero/storage/9XFJURJK/Fatima et al. - 2020 - XDRMDR Salmonella An experience from a Tertiary .pdf",1,9538,"conference isolate-surveillance abstract","","#729","Fatima 2020","Karachi, Pakistan","2017-2018","","","","","","FALSE","FALSE","","","","","","patients","hospital S. Typhi isolates summarized in a conference abstract","","","","No suspected/testing denominator and the PDF is an abstract compilation.","unassessable","Zotero full text screened; see zotero_pdf","not eligible","not eligible","exclude","Fatima 2020","Resistance proportions only; no clinical diagnostic-yield observation."
"#730","Outbreak of ceftriaxone-resistant Salmonella enterica serotype Typhi attributed to eating chicken at hotel X, Tiruchirappalli, India, 2018","Polani Chandrasekar, R.; Saravana Kumar, D.; Dzeyie, K.; Vignesh, M.S.; Sankara, D.; Raveendran, I.; Premkumar, B.; Ponnaiah, M.; Parasuraman, G.; Chaudhary, S.; Bhatnagar, T.; Kathuria, S.; Jain, S.; Singh, S.; Murhekar, M.",2020,"10.1016/j.ijid.2020.09.186","C:/Users/jonghoon.kim/Zotero/storage/3RSAV7FL/Polani Chandrasekar et al. - 2020 - Outbreak of ceftriaxone-resistant Salmonella enter.pdf",2,19530,"conference outbreak abstract","covidence_no_timeseries_ppv_audit.csv","#730","Polani Chandrasekar 2020","Tiruchirappalli, Tamil Nadu, India","2018",,,,,,"FALSE","FALSE","None - cases defined as culture-positive",,,,,"patients","blood culture","'We defined case as occurrence of culture positive Salmonella Typhi with ceftriaxone-resistance in a resident of Tiruchirappalli city' - culture-defined","Culture-defined cases; risk-factor investigation","not assessed","pi = 1 by construction","unassessable","conference abstract only (IJID supplement, doi 10.1016/j.ijid.2020.09.186); no full paper","not eligible: culture-defined cases","not eligible","exclude","Polani Chandrasekar 2020","Conference abstract, not a full paper. Excluded on the abstract alone."
"#885","Scrub typhus outbreak in a remote primary school, Bhutan, 2014","Tshokey, T.; Graves, S.; Tshering, D.; Phuntsho, K.; Tshering, K.; Stenos, J.",2017,"10.3201/eid2308.162021","C:/Users/jonghoon.kim/Zotero/storage/WU3EA6GK/Tshokey et al. - 2017 - Scrub Typhus Outbreak in a Remote Primary School, .pdf",3,21704,"non-typhoid outbreak","","#885","Tshokey 2017","Bhutan","2014","","","","","","FALSE","FALSE","","","","","","patients","","","","","Scrub typhus is caused by Orientia tsutsugamushi, not Salmonella Typhi.","not applicable","Zotero full text screened; see zotero_pdf","not eligible","not eligible","exclude: wrong disease","Tshokey 2017","Title-level false positive for the typhoid fever review."
"#989","Genomic signature of multi-drug resistant Salmonella typhi related to the massive outbreak in Zambia year 2010 to 2012","Mwansa, J.; Lukwesa, C.; Hendriksen, R.S.; Kalonda, A.; Kwenda, G.",2014,"10.1016/j.ijid.2014.03.962","C:/Users/jonghoon.kim/Zotero/storage/X2SV43K9/Mwansa et al. - 2014 - Genomic signature of multi-drug resistant Salmonel.pdf",1,6963,"conference genomic outbreak abstract","","#989","Mwansa 2014","Zambia","2010-2012","2040","","","","","FALSE","FALSE","2,040 reported outbreak patients; only a subset of positive isolates was characterized","","94","","","patients","94 S. Typhi isolates; 33 underwent whole-genome sequencing","","","","The number of patients cultured is absent; 94/2040 is not blood-culture positivity.","unassessable","Zotero full text screened; see zotero_pdf","not eligible","not eligible","exclude","Mwansa 2014","Conference abstract supplies outbreak size and isolate count but no compatible tested denominator."
"#1024","Outbreak-associated salmonella enterica serotypes and food commodities, united states, 1998-2008","Jackson, B.R.; Griffin, P.M.; Cole, D.; Walsh, K.A.; Chai, S.J.",2013,"10.3201/eid1908.121511","C:/Users/jonghoon.kim/Zotero/storage/APT6Y2BT/Jackson et al. - 2013 - Outbreak-associated Salmonella enterica serotypes .pdf",6,40931,"multi-serotype foodborne-outbreak analysis","","#1024","Jackson 2013","United States","1998-2008","","","","","","FALSE","FALSE","","","","","","patients","","","","","Aggregate analysis of foodborne Salmonella outbreaks across serotypes and commodities; no unique S. Typhi diagnostic frame.","unassessable","Zotero full text screened; see zotero_pdf","not eligible","not eligible","exclude","Jackson 2013","Not an outbreak-level typhoid PPV source."
"#1057","Multidrug-resistant Salmonella enterica, democratic republic of the Congo","Phoba, M.-F.; Lunguya, O.; Mayimon, D.V.; di Mputu, P.L.; Bertrand, S.; Vanhoof, R.; Verhaegen, J.; van Geet, C.V.; Muyembe, J.-J.; Jacobs, J.",2012,"10.3201/eid1810.120525","C:/Users/jonghoon.kim/Zotero/storage/TTKFPJVB/Phoba et al. - 2012 - Multidrug-resistant Salmonella enterica, Democrati.pdf",3,29878,"microbiological surveillance letter","","#1057","Phoba 2012","Kisantu, Democratic Republic of the Congo","2010-2011","","","","","","FALSE","FALSE","","","17","","","patients","17 S. Typhi isolates within broad microbiological blood-culture surveillance","","","","Denominators refer to all blood cultures/pathogens among febrile patients, not suspected typhoid; outbreak-specific tested count is absent.","unassessable","Zotero full text screened; see zotero_pdf","not eligible","not eligible","exclude","Phoba 2012","Useful resistance and pathogen-surveillance context, but 17 cannot be paired with the reported all-pathogen denominators as typhoid PPV."
"#1070","Prevalence and seasonality of Salmonella isolations from commercial poultry in Zaria Nigeria: A five-year retrospective study","Suleiman, A.; Geidam, Y.A.; Talba, A.M.; Grema, H.A.; Lawan, M.K.; Mamman, P.H.",2012,"10.1016/j.ijid.2012.05.669","C:/Users/jonghoon.kim/Zotero/storage/VB6SE6CL/Suleiman et al. - 2012 - Prevalence and seasonality of Salmonella isolation.pdf",1,8042,"non-human poultry surveillance","","#1070","Suleiman 2012","Zaria, Nigeria","2006-2010","","","","","","FALSE","FALSE","","","","","","patients","","","","","Commercial poultry surveillance; no human typhoid cases.","not applicable","Zotero full text screened; see zotero_pdf","not eligible","not eligible","exclude: non-human study","Suleiman 2012","Title/keyword false positive for a human typhoid outbreak review."
